Unnamed: 0,class,bruises,gill-spacing,gill-size,gill-color,stalk-root,ring-type,spore-print-color
81,poisonous,yes,close,narrow,white,equal,pendant,black
82,edible,no,close,narrow,brown,equal,pendant,brown
83,edible,no,crowded,broad,brown,equal,evanescent,brown
84,edible,yes,close,broad,white,rooted,pendant,black
85,edible,no,crowded,broad,black,equal,evanescent,black
86,edible,yes,close,broad,white,club,pendant,black
87,edible,yes,close,broad,brown,club,pendant,brown
88,edible,yes,close,broad,white,rooted,pendant,black
89,edible,no,close,narrow,brown,equal,pendant,brown
90,edible,no,close,narrow,brown,equal,pendant,brown
91,edible,yes,close,broad,black,club,pendant,black
92,edible,yes,close,broad,gray,club,pendant,black
93,edible,yes,close,broad,gray,club,pendant,black
94,edible,no,crowded,broad,brown,equal,evanescent,brown
95,edible,yes,close,broad,gray,club,pendant,brown
96,edible,yes,close,broad,pink,rooted,pendant,brown
97,edible,yes,close,broad,brown,club,pendant,black
98,edible,yes,close,broad,gray,club,pendant,brown
99,edible,yes,close,broad,gray,club,pendant,black
100,edible,no,crowded,broad,pink,equal,evanescent,black
101,edible,yes,close,broad,brown,club,pendant,black
102,edible,yes,close,broad,white,rooted,pendant,brown
103,edible,yes,close,broad,brown,rooted,pendant,black
104,edible,yes,close,broad,gray,club,pendant,brown
105,edible,yes,close,broad,brown,club,pendant,black
106,edible,yes,close,broad,white,rooted,pendant,brown
107,edible,yes,close,broad,brown,club,pendant,black
108,edible,yes,close,broad,gray,club,pendant,brown
109,edible,yes,close,broad,black,club,pendant,black
110,edible,yes,close,broad,white,club,pendant,black
111,edible,no,close,narrow,gray,equal,pendant,black
112,edible,yes,crowded,narrow,white,bulbous,pendant,purple
113,edible,yes,close,broad,brown,club,pendant,black
114,poisonous,yes,close,narrow,brown,equal,pendant,brown
115,edible,yes,close,broad,pink,rooted,pendant,brown
116,edible,no,close,narrow,pink,equal,pendant,brown
117,edible,yes,close,broad,white,rooted,pendant,black
118,edible,yes,crowded,narrow,pink,bulbous,pendant,purple
119,edible,no,close,narrow,black,equal,pendant,brown
120,poisonous,yes,close,narrow,black,equal,pendant,black
121,edible,yes,close,broad,gray,club,pendant,brown
122,poisonous,yes,close,narrow,pink,equal,pendant,black
123,edible,no,crowded,broad,black,equal,evanescent,brown
124,edible,yes,close,broad,gray,club,pendant,brown
125,edible,no,crowded,broad,brown,equal,evanescent,black
126,edible,yes,close,broad,white,club,pendant,brown
127,edible,no,crowded,broad,chocolate,equal,evanescent,brown
128,edible,yes,close,broad,brown,club,pendant,black
129,edible,yes,close,broad,brown,club,pendant,brown
130,edible,yes,close,broad,white,club,pendant,brown
131,edible,yes,close,broad,white,club,pendant,brown
132,edible,yes,crowded,narrow,white,bulbous,pendant,purple
133,edible,yes,close,broad,gray,club,pendant,black
134,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
135,poisonous,yes,close,narrow,white,equal,pendant,brown
136,edible,yes,crowded,narrow,white,bulbous,pendant,brown
137,edible,yes,close,broad,brown,club,pendant,brown
138,poisonous,yes,close,narrow,pink,equal,pendant,brown
139,edible,yes,close,broad,white,club,pendant,brown
140,edible,yes,close,broad,white,rooted,pendant,black
141,edible,yes,close,broad,gray,club,pendant,black
142,edible,no,close,narrow,black,equal,pendant,brown
143,edible,yes,close,broad,white,rooted,pendant,black
144,edible,yes,close,broad,black,club,pendant,black
145,edible,no,crowded,broad,black,equal,evanescent,black
146,edible,no,crowded,broad,black,equal,evanescent,brown
147,edible,yes,close,broad,white,club,pendant,brown
148,edible,yes,close,broad,black,club,pendant,black
149,edible,yes,close,broad,gray,club,pendant,black
150,edible,yes,close,broad,white,club,pendant,brown
151,edible,no,crowded,broad,pink,equal,evanescent,brown
152,edible,yes,close,broad,gray,club,pendant,brown
153,edible,no,close,narrow,black,equal,pendant,black
154,edible,yes,crowded,narrow,white,bulbous,pendant,purple
155,edible,yes,close,broad,white,rooted,pendant,black
156,edible,yes,close,broad,black,club,pendant,brown
157,edible,yes,close,broad,black,club,pendant,brown
158,edible,yes,close,broad,brown,club,pendant,black
159,edible,yes,close,broad,gray,club,pendant,black
160,edible,yes,close,broad,gray,club,pendant,black
161,edible,yes,close,broad,brown,club,pendant,black
162,edible,no,close,narrow,black,equal,pendant,brown
163,edible,yes,close,broad,brown,rooted,pendant,brown
164,edible,yes,close,broad,black,club,pendant,brown
165,edible,yes,close,broad,white,rooted,pendant,brown
166,edible,yes,close,broad,white,club,pendant,brown
167,edible,yes,close,broad,white,club,pendant,black
168,edible,yes,close,broad,white,rooted,pendant,black
169,edible,yes,close,broad,black,club,pendant,black
170,edible,no,close,narrow,gray,equal,pendant,brown
171,edible,yes,close,broad,black,club,pendant,brown
172,edible,yes,crowded,narrow,brown,bulbous,pendant,purple
173,edible,yes,close,broad,white,club,pendant,black
174,edible,yes,close,broad,pink,rooted,pendant,brown
175,edible,yes,close,broad,white,club,pendant,black
176,edible,yes,close,broad,black,club,pendant,black
177,edible,yes,close,broad,gray,club,pendant,brown
178,edible,yes,close,broad,gray,club,pendant,brown
179,edible,yes,close,broad,gray,club,pendant,brown
180,poisonous,yes,close,narrow,pink,equal,pendant,brown
181,edible,no,close,narrow,gray,equal,pendant,brown
182,edible,no,close,narrow,gray,equal,pendant,black
183,edible,yes,close,broad,gray,club,pendant,brown
184,edible,yes,close,broad,pink,rooted,pendant,black
185,poisonous,yes,close,narrow,black,equal,pendant,black
186,edible,yes,close,broad,gray,club,pendant,brown
187,edible,no,close,narrow,pink,equal,pendant,black
188,edible,yes,close,broad,gray,club,pendant,brown
189,edible,yes,close,broad,white,rooted,pendant,brown
190,edible,no,crowded,broad,pink,equal,evanescent,black
191,edible,yes,crowded,narrow,white,bulbous,pendant,brown
192,edible,yes,close,broad,white,club,pendant,brown
193,edible,yes,crowded,narrow,white,bulbous,pendant,brown
194,edible,yes,close,broad,black,club,pendant,brown
195,edible,no,close,narrow,gray,equal,pendant,brown
196,edible,yes,close,broad,brown,club,pendant,black
197,edible,yes,close,broad,gray,club,pendant,brown
198,edible,yes,close,broad,brown,club,pendant,brown
199,edible,yes,crowded,narrow,brown,bulbous,pendant,brown
200,edible,yes,close,broad,white,club,pendant,brown
201,edible,yes,close,broad,white,club,pendant,black
202,edible,yes,close,broad,gray,club,pendant,black
203,edible,no,crowded,broad,chocolate,equal,evanescent,black
204,edible,yes,close,broad,brown,rooted,pendant,black
205,poisonous,yes,close,narrow,black,equal,pendant,brown
206,edible,yes,close,broad,brown,club,pendant,brown
207,edible,yes,close,broad,black,club,pendant,black
208,edible,yes,close,broad,brown,club,pendant,brown
209,edible,yes,close,broad,white,club,pendant,black
210,edible,yes,close,broad,white,club,pendant,black
211,edible,yes,close,broad,white,club,pendant,black
212,edible,yes,crowded,narrow,brown,bulbous,pendant,brown
213,edible,no,close,narrow,brown,equal,pendant,brown
214,edible,yes,close,broad,brown,rooted,pendant,brown
215,edible,yes,close,broad,brown,club,pendant,black
216,edible,yes,close,broad,gray,club,pendant,black
217,edible,yes,close,broad,black,club,pendant,black
218,edible,yes,close,broad,white,club,pendant,brown
219,edible,no,close,narrow,pink,equal,pendant,brown
220,edible,yes,close,broad,brown,club,pendant,brown
221,poisonous,yes,close,narrow,black,equal,pendant,black
222,edible,yes,close,broad,brown,rooted,pendant,brown
223,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
224,edible,yes,close,broad,gray,club,pendant,black
225,edible,yes,close,broad,brown,club,pendant,black
226,edible,yes,close,broad,gray,club,pendant,brown
227,edible,yes,close,broad,gray,club,pendant,brown
228,poisonous,yes,close,narrow,pink,equal,pendant,black
229,edible,yes,close,broad,brown,club,pendant,brown
230,edible,no,close,narrow,brown,equal,pendant,black
231,poisonous,yes,close,narrow,black,equal,pendant,black
232,edible,yes,close,broad,brown,rooted,pendant,brown
233,edible,no,close,narrow,black,equal,pendant,black
234,edible,yes,close,broad,black,club,pendant,brown
235,edible,yes,crowded,narrow,white,bulbous,pendant,brown
236,edible,yes,close,broad,white,club,pendant,black
237,edible,yes,close,broad,brown,club,pendant,brown
238,edible,yes,close,broad,brown,rooted,pendant,black
239,edible,yes,close,broad,pink,rooted,pendant,black
240,edible,yes,close,broad,white,rooted,pendant,black
241,edible,yes,close,broad,white,club,pendant,black
242,edible,yes,close,broad,white,club,pendant,brown
243,poisonous,yes,close,narrow,brown,equal,pendant,black
244,edible,yes,crowded,narrow,pink,bulbous,pendant,purple
245,edible,yes,close,broad,white,club,pendant,brown
246,edible,yes,crowded,narrow,pink,bulbous,pendant,purple
247,edible,yes,close,broad,brown,club,pendant,black
248,edible,yes,close,broad,white,rooted,pendant,black
249,edible,no,crowded,broad,pink,equal,evanescent,black
250,edible,yes,close,broad,white,rooted,pendant,brown
251,poisonous,yes,close,narrow,pink,equal,pendant,brown
252,edible,no,close,narrow,gray,equal,pendant,brown
253,edible,yes,close,broad,white,club,pendant,brown
254,edible,yes,close,broad,brown,club,pendant,brown
255,edible,yes,close,broad,black,club,pendant,brown
256,edible,no,close,narrow,black,equal,pendant,brown
257,edible,yes,close,broad,white,club,pendant,black
258,edible,yes,close,broad,gray,club,pendant,black
259,edible,yes,close,broad,gray,club,pendant,brown
260,edible,yes,close,broad,white,rooted,pendant,brown
261,poisonous,yes,close,narrow,black,equal,pendant,black
262,edible,yes,close,broad,brown,club,pendant,brown
263,edible,yes,close,broad,brown,club,pendant,brown
264,edible,yes,crowded,narrow,white,bulbous,pendant,purple
265,edible,no,close,narrow,gray,equal,pendant,black
266,edible,no,crowded,broad,pink,equal,evanescent,black
267,edible,yes,close,broad,gray,club,pendant,brown
268,edible,yes,close,broad,black,club,pendant,brown
269,poisonous,yes,close,narrow,white,equal,pendant,black
270,edible,yes,close,broad,brown,club,pendant,black
271,poisonous,yes,close,narrow,white,equal,pendant,black
272,edible,yes,close,broad,black,club,pendant,brown
273,edible,yes,close,broad,black,club,pendant,brown
274,edible,yes,close,broad,brown,rooted,pendant,brown
275,edible,yes,close,broad,white,rooted,pendant,brown
276,edible,yes,close,broad,white,rooted,pendant,brown
277,edible,yes,close,broad,white,club,pendant,brown
278,edible,no,crowded,broad,chocolate,equal,evanescent,black
279,edible,yes,close,broad,black,club,pendant,brown
280,poisonous,yes,close,narrow,white,equal,pendant,brown
281,edible,yes,close,broad,brown,club,pendant,brown
282,edible,no,close,narrow,pink,equal,pendant,brown
283,edible,yes,close,broad,black,club,pendant,black
284,edible,yes,close,broad,brown,club,pendant,black
285,edible,yes,close,broad,brown,rooted,pendant,black
286,edible,yes,close,broad,gray,club,pendant,black
287,edible,yes,close,broad,gray,club,pendant,black
288,edible,yes,close,broad,brown,rooted,pendant,brown
289,edible,no,close,narrow,pink,equal,pendant,brown
290,edible,no,close,narrow,gray,equal,pendant,black
291,edible,yes,close,broad,brown,club,pendant,black
292,edible,yes,close,broad,brown,club,pendant,black
293,edible,yes,close,broad,black,club,pendant,brown
294,edible,yes,close,broad,gray,club,pendant,black
295,edible,yes,close,broad,gray,club,pendant,brown
296,edible,yes,close,broad,black,club,pendant,black
297,edible,no,crowded,broad,pink,equal,evanescent,black
298,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
299,poisonous,yes,close,narrow,pink,equal,pendant,black
300,edible,no,crowded,broad,black,equal,evanescent,black
301,edible,yes,close,broad,white,club,pendant,black
302,edible,yes,crowded,narrow,white,bulbous,pendant,brown
303,edible,yes,close,broad,brown,club,pendant,black
304,edible,yes,close,broad,gray,club,pendant,black
305,edible,yes,close,broad,pink,bulbous,pendant,brown
306,edible,yes,close,broad,black,club,pendant,brown
307,edible,yes,close,broad,gray,club,pendant,brown
308,edible,yes,close,broad,pink,rooted,pendant,black
309,edible,no,crowded,broad,brown,equal,evanescent,brown
310,edible,yes,close,broad,white,club,pendant,black
311,poisonous,yes,close,narrow,brown,equal,pendant,brown
312,edible,yes,close,broad,brown,club,pendant,black
313,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
314,edible,yes,close,broad,gray,club,pendant,brown
315,poisonous,yes,close,narrow,black,equal,pendant,black
316,edible,yes,crowded,narrow,white,bulbous,pendant,brown
317,edible,yes,close,broad,black,club,pendant,black
318,edible,yes,crowded,narrow,brown,bulbous,pendant,brown
319,edible,yes,crowded,narrow,white,bulbous,pendant,brown
320,edible,yes,close,broad,black,club,pendant,brown
321,edible,yes,crowded,narrow,white,bulbous,pendant,purple
322,edible,yes,close,broad,white,club,pendant,black
323,edible,yes,close,broad,brown,club,pendant,black
324,edible,yes,close,broad,pink,rooted,pendant,brown
325,edible,yes,close,broad,black,club,pendant,black
326,edible,yes,close,broad,brown,club,pendant,brown
327,poisonous,yes,close,narrow,brown,equal,pendant,brown
328,edible,yes,close,broad,white,club,pendant,black
329,edible,yes,close,broad,gray,club,pendant,black
330,poisonous,yes,close,narrow,white,equal,pendant,black
331,edible,yes,close,broad,brown,club,pendant,black
332,edible,yes,close,broad,white,club,pendant,brown
333,edible,yes,close,broad,brown,club,pendant,black
334,edible,yes,close,broad,gray,club,pendant,brown
335,edible,yes,close,broad,pink,bulbous,pendant,black
336,edible,yes,close,broad,white,rooted,pendant,black
337,edible,yes,close,broad,brown,club,pendant,brown
338,edible,no,close,narrow,gray,equal,pendant,brown
339,edible,yes,close,broad,brown,rooted,pendant,black
340,edible,yes,close,broad,black,club,pendant,brown
341,edible,yes,close,broad,brown,club,pendant,black
342,edible,yes,close,broad,gray,club,pendant,black
343,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
344,edible,yes,close,broad,gray,club,pendant,brown
345,edible,no,crowded,broad,brown,equal,evanescent,brown
346,edible,yes,crowded,narrow,brown,bulbous,pendant,brown
347,edible,yes,close,broad,brown,club,pendant,brown
348,edible,no,crowded,broad,brown,equal,evanescent,black
349,edible,no,close,narrow,gray,equal,pendant,brown
350,edible,no,crowded,broad,chocolate,equal,evanescent,brown
351,edible,yes,close,broad,pink,rooted,pendant,brown
352,edible,yes,close,broad,black,club,pendant,brown
353,edible,yes,close,broad,black,club,pendant,black
354,edible,yes,close,broad,white,rooted,pendant,black
355,edible,no,close,narrow,gray,equal,pendant,brown
356,edible,yes,close,broad,pink,rooted,pendant,brown
357,poisonous,yes,close,narrow,black,equal,pendant,black
358,edible,yes,close,broad,pink,rooted,pendant,brown
359,edible,yes,close,broad,white,club,pendant,brown
360,edible,no,crowded,broad,chocolate,equal,evanescent,brown
361,edible,no,crowded,broad,pink,equal,evanescent,black
362,edible,no,crowded,broad,black,equal,evanescent,black
363,edible,yes,close,broad,brown,rooted,pendant,brown
364,edible,yes,close,broad,white,club,pendant,black
365,edible,no,close,narrow,pink,equal,pendant,black
366,edible,yes,close,broad,white,rooted,pendant,brown
367,edible,yes,crowded,narrow,pink,bulbous,pendant,purple
368,edible,yes,close,broad,gray,club,pendant,brown
369,edible,no,crowded,broad,brown,equal,evanescent,black
370,edible,yes,close,broad,white,rooted,pendant,brown
371,edible,yes,close,broad,brown,rooted,pendant,black
372,edible,yes,close,broad,white,club,pendant,black
373,edible,no,close,narrow,brown,equal,pendant,brown
374,edible,yes,close,broad,black,club,pendant,black
375,edible,yes,close,broad,brown,club,pendant,black
376,edible,no,close,narrow,black,equal,pendant,black
377,edible,yes,close,broad,brown,club,pendant,brown
378,edible,yes,close,broad,black,club,pendant,brown
379,edible,yes,close,broad,black,club,pendant,brown
380,poisonous,yes,close,narrow,pink,equal,pendant,black
381,edible,no,crowded,broad,black,equal,evanescent,brown
382,edible,yes,close,broad,white,club,pendant,black
383,edible,yes,close,broad,gray,club,pendant,brown
384,edible,yes,close,broad,brown,bulbous,pendant,brown
385,poisonous,yes,close,narrow,white,equal,pendant,brown
386,edible,yes,close,broad,white,rooted,pendant,black
387,edible,no,crowded,broad,brown,equal,evanescent,black
388,edible,yes,close,broad,brown,club,pendant,black
389,edible,yes,close,broad,white,club,pendant,brown
390,edible,yes,close,broad,brown,club,pendant,brown
391,edible,yes,close,broad,gray,club,pendant,black
392,edible,yes,close,broad,brown,club,pendant,brown
393,edible,no,close,narrow,black,equal,pendant,brown
394,edible,yes,close,broad,white,rooted,pendant,black
395,edible,no,crowded,broad,chocolate,equal,evanescent,brown
396,edible,yes,close,broad,black,club,pendant,brown
397,edible,yes,close,broad,white,club,pendant,brown
398,edible,no,close,narrow,brown,equal,pendant,black
399,poisonous,yes,close,narrow,pink,equal,pendant,brown
400,edible,yes,close,broad,white,club,pendant,brown
401,edible,yes,close,broad,brown,club,pendant,black
402,poisonous,yes,close,narrow,pink,equal,pendant,brown
403,edible,yes,close,broad,white,club,pendant,brown
404,edible,yes,close,broad,black,club,pendant,brown
405,edible,yes,close,broad,brown,club,pendant,black
406,edible,yes,close,broad,brown,club,pendant,brown
407,edible,yes,close,broad,gray,club,pendant,brown
408,edible,yes,close,broad,gray,club,pendant,black
409,edible,yes,close,broad,white,rooted,pendant,brown
410,edible,yes,close,broad,white,club,pendant,brown
411,edible,no,crowded,broad,brown,equal,evanescent,black
412,edible,yes,close,broad,brown,rooted,pendant,brown
413,edible,yes,close,broad,brown,rooted,pendant,black
414,poisonous,yes,close,narrow,black,equal,pendant,black
415,edible,yes,close,broad,white,club,pendant,brown
416,edible,yes,crowded,narrow,pink,bulbous,pendant,purple
417,poisonous,yes,close,narrow,white,equal,pendant,black
418,edible,yes,close,broad,black,club,pendant,black
419,edible,no,crowded,broad,chocolate,equal,evanescent,brown
420,edible,yes,close,broad,brown,club,pendant,black
421,edible,yes,close,broad,white,club,pendant,brown
422,poisonous,yes,close,narrow,pink,equal,pendant,brown
423,edible,yes,close,broad,white,rooted,pendant,black
424,edible,yes,close,broad,brown,club,pendant,brown
425,edible,yes,crowded,narrow,brown,bulbous,pendant,brown
426,edible,yes,close,broad,brown,rooted,pendant,brown
427,edible,yes,close,broad,black,club,pendant,brown
428,edible,no,crowded,broad,pink,equal,evanescent,black
429,edible,no,close,narrow,brown,equal,pendant,brown
430,edible,yes,close,broad,gray,club,pendant,brown
431,edible,yes,close,broad,brown,rooted,pendant,brown
432,edible,yes,close,broad,gray,club,pendant,brown
433,edible,yes,close,broad,white,club,pendant,black
434,edible,yes,crowded,narrow,brown,bulbous,pendant,brown
435,edible,yes,close,broad,white,club,pendant,black
436,edible,yes,crowded,narrow,brown,bulbous,pendant,purple
437,edible,yes,close,broad,gray,club,pendant,brown
438,edible,yes,close,broad,black,club,pendant,brown
439,edible,yes,close,broad,pink,rooted,pendant,brown
440,edible,yes,close,broad,brown,club,pendant,black
441,edible,yes,close,broad,gray,club,pendant,black
442,edible,yes,close,broad,pink,rooted,pendant,black
443,edible,yes,close,broad,brown,club,pendant,black
444,edible,yes,close,broad,white,club,pendant,black
445,edible,yes,close,broad,pink,rooted,pendant,black
446,edible,yes,close,broad,brown,club,pendant,brown
447,edible,yes,close,broad,brown,rooted,pendant,black
448,edible,yes,close,broad,white,club,pendant,black
449,edible,yes,close,broad,brown,bulbous,pendant,brown
450,edible,yes,close,broad,black,club,pendant,brown
451,edible,yes,close,broad,gray,club,pendant,black
452,edible,yes,close,broad,gray,club,pendant,black
453,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
454,edible,yes,close,broad,gray,club,pendant,brown
455,edible,no,crowded,broad,chocolate,equal,evanescent,black
456,edible,yes,close,broad,black,club,pendant,brown
457,edible,yes,close,broad,white,club,pendant,black
458,edible,yes,close,broad,brown,rooted,pendant,black
459,edible,yes,close,broad,white,rooted,pendant,brown
460,edible,yes,close,broad,black,club,pendant,brown
461,edible,yes,close,broad,brown,rooted,pendant,brown
462,edible,yes,close,broad,gray,club,pendant,black
463,edible,yes,close,broad,white,club,pendant,brown
464,edible,no,close,narrow,black,equal,pendant,black
465,edible,yes,close,broad,pink,rooted,pendant,brown
466,edible,yes,close,broad,gray,club,pendant,black
467,edible,yes,close,broad,gray,club,pendant,black
468,edible,yes,close,broad,gray,club,pendant,black
469,edible,yes,close,broad,white,rooted,pendant,brown
470,edible,yes,close,broad,gray,club,pendant,black
471,edible,yes,close,broad,white,club,pendant,black
472,edible,yes,crowded,narrow,brown,bulbous,pendant,purple
473,edible,no,close,narrow,black,equal,pendant,black
474,edible,yes,crowded,narrow,brown,bulbous,pendant,brown
475,edible,no,close,narrow,black,equal,pendant,black
476,edible,no,close,narrow,pink,equal,pendant,brown
477,edible,yes,close,broad,white,club,pendant,brown
478,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
479,edible,yes,close,broad,brown,club,pendant,black
480,edible,yes,close,broad,black,club,pendant,black
481,edible,yes,close,broad,gray,club,pendant,black
482,edible,yes,crowded,narrow,pink,bulbous,pendant,purple
483,edible,no,close,narrow,gray,equal,pendant,black
484,edible,yes,crowded,narrow,white,bulbous,pendant,brown
485,edible,yes,close,broad,pink,rooted,pendant,black
486,edible,yes,close,broad,white,club,pendant,brown
487,edible,no,close,narrow,pink,equal,pendant,brown
488,edible,yes,close,broad,brown,rooted,pendant,black
489,edible,yes,close,broad,brown,rooted,pendant,black
490,edible,yes,crowded,narrow,brown,bulbous,pendant,purple
491,poisonous,yes,close,narrow,pink,equal,pendant,brown
492,poisonous,yes,close,narrow,black,equal,pendant,brown
493,edible,yes,close,broad,white,rooted,pendant,brown
494,edible,yes,close,broad,white,rooted,pendant,black
495,edible,yes,close,broad,black,club,pendant,brown
496,edible,no,crowded,broad,chocolate,equal,evanescent,brown
497,edible,yes,close,broad,pink,rooted,pendant,brown
498,edible,yes,close,broad,brown,club,pendant,brown
499,edible,yes,close,broad,white,club,pendant,black
500,edible,yes,close,broad,white,club,pendant,brown
501,edible,yes,close,broad,gray,club,pendant,black
502,edible,yes,close,broad,gray,club,pendant,black
503,edible,yes,close,broad,white,club,pendant,black
504,edible,yes,close,broad,white,club,pendant,brown
505,poisonous,yes,close,narrow,brown,equal,pendant,brown
506,edible,no,crowded,broad,pink,equal,evanescent,brown
507,edible,no,crowded,broad,pink,equal,evanescent,brown
508,edible,yes,crowded,narrow,brown,bulbous,pendant,brown
509,edible,no,close,narrow,pink,equal,pendant,brown
510,edible,no,close,narrow,black,equal,pendant,brown
511,edible,yes,close,broad,black,club,pendant,black
512,edible,yes,crowded,narrow,brown,bulbous,pendant,purple
513,edible,no,close,narrow,brown,equal,pendant,brown
514,edible,no,close,narrow,black,equal,pendant,brown
515,edible,no,crowded,broad,chocolate,equal,evanescent,brown
516,edible,yes,close,broad,brown,rooted,pendant,black
517,edible,yes,close,broad,black,club,pendant,black
518,edible,yes,close,broad,black,club,pendant,black
519,edible,yes,close,broad,black,club,pendant,brown
520,edible,yes,close,broad,white,club,pendant,black
521,edible,yes,close,broad,brown,club,pendant,black
522,edible,yes,close,broad,pink,rooted,pendant,brown
523,poisonous,yes,close,narrow,brown,equal,pendant,brown
524,edible,no,close,narrow,brown,equal,pendant,black
525,edible,yes,close,broad,white,club,pendant,brown
526,edible,yes,close,broad,white,rooted,pendant,brown
527,edible,yes,close,broad,black,club,pendant,brown
528,edible,no,close,narrow,black,equal,pendant,black
529,edible,yes,close,broad,white,rooted,pendant,brown
530,edible,yes,close,broad,brown,rooted,pendant,brown
531,edible,yes,close,broad,brown,club,pendant,black
532,poisonous,yes,close,narrow,brown,equal,pendant,black
533,edible,yes,close,broad,white,rooted,pendant,black
534,poisonous,yes,close,narrow,black,equal,pendant,black
535,edible,no,crowded,broad,black,equal,evanescent,black
536,edible,yes,close,broad,black,club,pendant,black
537,edible,no,close,narrow,pink,equal,pendant,black
538,edible,yes,close,broad,gray,club,pendant,brown
